学校名称,指标名称,标准答案,AI答案
中山大学,ESI前1%学科数量,10,11
中山大学,ESI前1‰学科数量,待填充,未找到数字答案
中山大学,国家“双一流”学科数量,11,11
中山大学,教育部评估A类学科数量,待填充,11
中山大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
中山大学,学术型硕士学位点,待填充,未找到数字答案
中山大学,专业型硕士学位点,待填充,未找到数字答案
中山大学,学术型博士学位点,待填充,未找到数字答案
中山大学,专业型博士学位点,待填充,未找到数字答案
中山大学,本科专业总数,待填充,未找到数字答案
中山大学,本科专业认证通过数,待填充,未找到数字答案
中山大学,国家级一流本科专业建设点,待填充,未找到数字答案
中山大学,省一流本科专业建设点,待填充,未找到数字答案
南方科技大学,ESI前1%学科数量,待填充,未找到数字答案
南方科技大学,ESI前1‰学科数量,待填充,未找到数字答案
南方科技大学,国家“双一流”学科数量,待填充,未找到数字答案
南方科技大学,教育部评估A类学科数量,待填充,未找到数字答案
南方科技大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
南方科技大学,学术型硕士学位点,待填充,未找到数字答案
南方科技大学,专业型硕士学位点,待填充,未找到数字答案
南方科技大学,学术型博士学位点,待填充,未找到数字答案
南方科技大学,专业型博士学位点,待填充,未找到数字答案
南方科技大学,本科专业总数,待填充,未找到数字答案
南方科技大学,本科专业认证通过数,待填充,未找到数字答案
南方科技大学,国家级一流本科专业建设点,待填充,未找到数字答案
南方科技大学,省一流本科专业建设点,待填充,未找到数字答案
香港中文大学(深圳),ESI前1%学科数量,待填充,未找到数字答案
香港中文大学(深圳),ESI前1‰学科数量,待填充,未找到数字答案
香港中文大学(深圳),国家“双一流”学科数量,待填充,未找到数字答案
香港中文大学(深圳),教育部评估A类学科数量,待填充,未找到数字答案
香港中文大学(深圳),软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
香港中文大学(深圳),学术型硕士学位点,待填充,未找到数字答案
香港中文大学(深圳),专业型硕士学位点,待填充,未找到数字答案
香港中文大学(深圳),学术型博士学位点,待填充,未找到数字答案
香港中文大学(深圳),专业型博士学位点,待填充,未找到数字答案
香港中文大学(深圳),本科专业总数,待填充,未找到数字答案
香港中文大学(深圳),本科专业认证通过数,待填充,未找到数字答案
香港中文大学(深圳),国家级一流本科专业建设点,待填充,未找到数字答案
香港中文大学(深圳),省一流本科专业建设点,待填充,未找到数字答案
华南理工大学,ESI前1%学科数量,待填充,未找到数字答案
华南理工大学,ESI前1‰学科数量,待填充,未找到数字答案
华南理工大学,国家“双一流”学科数量,待填充,4
华南理工大学,教育部评估A类学科数量,待填充,4
华南理工大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
华南理工大学,学术型硕士学位点,待填充,未找到数字答案
华南理工大学,专业型硕士学位点,待填充,未找到数字答案
华南理工大学,学术型博士学位点,待填充,未找到数字答案
华南理工大学,专业型博士学位点,待填充,未找到数字答案
华南理工大学,本科专业总数,待填充,未找到数字答案
华南理工大学,本科专业认证通过数,待填充,未找到数字答案
华南理工大学,国家级一流本科专业建设点,待填充,未找到数字答案
华南理工大学,省一流本科专业建设点,待填充,未找到数字答案
广东工业大学,ESI前1%学科数量,待填充,未找到数字答案
广东工业大学,ESI前1‰学科数量,待填充,未找到数字答案
广东工业大学,国家“双一流”学科数量,待填充,未找到数字答案
广东工业大学,教育部评估A类学科数量,待填充,未找到数字答案
广东工业大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
广东工业大学,学术型硕士学位点,待填充,未找到数字答案
广东工业大学,专业型硕士学位点,待填充,未找到数字答案
广东工业大学,学术型博士学位点,待填充,未找到数字答案
广东工业大学,专业型博士学位点,待填充,未找到数字答案
广东工业大学,本科专业总数,待填充,未找到数字答案
广东工业大学,本科专业认证通过数,待填充,未找到数字答案
广东工业大学,国家级一流本科专业建设点,待填充,未找到数字答案
广东工业大学,省一流本科专业建设点,待填充,未找到数字答案
南方医科大学,ESI前1%学科数量,待填充,未找到数字答案
南方医科大学,ESI前1‰学科数量,待填充,未找到数字答案
南方医科大学,国家“双一流”学科数量,待填充,未找到数字答案
南方医科大学,教育部评估A类学科数量,待填充,未找到数字答案
南方医科大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
南方医科大学,学术型硕士学位点,待填充,未找到数字答案
南方医科大学,专业型硕士学位点,待填充,未找到数字答案
南方医科大学,学术型博士学位点,待填充,未找到数字答案
南方医科大学,专业型博士学位点,待填充,未找到数字答案
南方医科大学,本科专业总数,待填充,未找到数字答案
南方医科大学,本科专业认证通过数,待填充,未找到数字答案
南方医科大学,国家级一流本科专业建设点,待填充,未找到数字答案
南方医科大学,省一流本科专业建设点,待填充,未找到数字答案
华南师范大学,ESI前1%学科数量,待填充,未找到数字答案
华南师范大学,ESI前1‰学科数量,待填充,未找到数字答案
华南师范大学,国家“双一流”学科数量,待填充,1
华南师范大学,教育部评估A类学科数量,待填充,未找到数字答案
华南师范大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
华南师范大学,学术型硕士学位点,待填充,未找到数字答案
华南师范大学,专业型硕士学位点,待填充,未找到数字答案
华南师范大学,学术型博士学位点,待填充,未找到数字答案
华南师范大学,专业型博士学位点,待填充,未找到数字答案
华南师范大学,本科专业总数,待填充,未找到数字答案
华南师范大学,本科专业认证通过数,待填充,未找到数字答案
华南师范大学,国家级一流本科专业建设点,待填充,未找到数字答案
华南师范大学,省一流本科专业建设点,待填充,未找到数字答案
华南农业大学,ESI前1%学科数量,待填充,未找到数字答案
华南农业大学,ESI前1‰学科数量,待填充,未找到数字答案
华南农业大学,国家“双一流”学科数量,待填充,未找到数字答案
华南农业大学,教育部评估A类学科数量,待填充,未找到数字答案
华南农业大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
华南农业大学,学术型硕士学位点,待填充,未找到数字答案
华南农业大学,专业型硕士学位点,待填充,未找到数字答案
华南农业大学,学术型博士学位点,待填充,未找到数字答案
华南农业大学,专业型博士学位点,待填充,未找到数字答案
华南农业大学,本科专业总数,待填充,未找到数字答案
华南农业大学,本科专业认证通过数,待填充,未找到数字答案
华南农业大学,国家级一流本科专业建设点,待填充,未找到数字答案
华南农业大学,省一流本科专业建设点,待填充,未找到数字答案
暨南大学,ESI前1%学科数量,待填充,未找到数字答案
暨南大学,ESI前1‰学科数量,待填充,未找到数字答案
暨南大学,国家“双一流”学科数量,待填充,1
暨南大学,教育部评估A类学科数量,待填充,未找到数字答案
暨南大学,软科“中国最好学科”排名前10%学科数量,待填充,未找到数字答案
暨南大学,学术型硕士学位点,待填充,未找到数字答案
暨南大学,专业型硕士学位点,待填充,未找到数字答案
暨南大学,学术型博士学位点,待填充,未找到数字答案
暨南大学,专业型博士学位点,待填充,未找到数字答案
暨南大学,本科专业总数,待填充,未找到数字答案
暨南大学,本科专业认证通过数,待填充,未找到数字答案
暨南大学,国家级一流本科专业建设点,待填充,未找到数字答案
暨南大学,省一流本科专业建设点,待填充,未找到数字答案
