学校名称,指标名称,标准答案,AI答案
广州大学,国家双一流学科数量,待填充,0
广州医科大学,国家双一流学科数量,待填充,0
广州航海学院,国家双一流学科数量,待填充,0
香港科技大学（广州）,国家双一流学科数量,待填充,0
广州铁路职业技术学院,国家双一流学科数量,待填充,0
广州工程技术职业学院,国家双一流学科数量,待填充,0
广州体育职业技术学院,国家双一流学科数量,待填充,0
广州科技贸易职业学院,国家双一流学科数量,待填充,0
广州幼儿师范高等专科学校,国家双一流学科数量,待填充,0
广州开放大学,国家双一流学科数量,待填充,0
中山大学,国家双一流学科数量,待填充,11
南方科技大学,国家双一流学科数量,待填充,6
香港中文大学(深圳),国家双一流学科数量,待填充,0
华南理工大学,国家双一流学科数量,待填充,4
广东工业大学,国家双一流学科数量,待填充,3
南方医科大学,国家双一流学科数量,待填充,1
华南师范大学,国家双一流学科数量,待填充,4
华南农业大学,国家双一流学科数量,待填充,3
暨南大学,国家双一流学科数量,待填充,4
广东外语外贸大学,国家双一流学科数量,待填充,5
广东财经大学,国家双一流学科数量,待填充,0
广州番禺职业技术学院,国家双一流学科数量,待填充,0
哈尔滨工业大学(深圳),国家双一流学科数量,待填充,7
仲恺农业工程学院,国家双一流学科数量,待填充,0
广东药科大学,国家双一流学科数量,待填充,1
星海音乐学院,国家双一流学科数量,待填充,0
广州美术学院,国家双一流学科数量,待填充,0
广州体育学院,国家双一流学科数量,待填充,0
广东技术师范大学,国家双一流学科数量,待填充,0
广东金融学院,国家双一流学科数量,待填充,0
广州中医药大学,国家双一流学科数量,待填充,1
