学校名称,指标名称,标准答案,AI答案
中山大学,国家级一流本科课程,59,73
暨南大学,国家级一流本科课程,52,64
华南理工大学,国家级一流本科课程,27,64
华南农业大学,国家级一流本科课程,46,53
广州医科大学,国家级一流本科课程,3,19
广州中医药大学,国家级一流本科课程,16,19
广东药科大学,国家级一流本科课程,5,12
华南师范大学,国家级一流本科课程,52,64
广州体育学院,国家级一流本科课程,2,2
广州美术学院,国家级一流本科课程,7,6
星海音乐学院,国家级一流本科课程,2,1
广东技术师范大学,国家级一流本科课程,4,6
广东财经大学,国家级一流本科课程,5,12
广州大学,国家级一流本科课程,24,24
广州航海学院,国家级一流本科课程,0,0
广东警官学院,国家级一流本科课程,3,3
仲恺农业工程学院,国家级一流本科课程,0,0
广东金融学院,国家级一流本科课程,6,13
广东工业大学,国家级一流本科课程,21,41
广东外语外贸大学,国家级一流本科课程,24,38
南方医科大学,国家级一流本科课程,37,52
广东第二师范学院,国家级一流本科课程,1,1
广东轻工职业技术大学,国家级一流本科课程,0,0
广东白云学院,国家级一流本科课程,0,0
广东培正学院,国家级一流本科课程,0,0
广州城市理工学院,国家级一流本科课程,0,0
广州软件学院,国家级一流本科课程,0,0
广州南方学院,国家级一流本科课程,0,1
广东外语外贸大学南国商学院,国家级一流本科课程,1,1
广州华商学院,国家级一流本科课程,0,0
华南农业大学珠江学院,国家级一流本科课程,0,0
广州理工学院,国家级一流本科课程,0,0
广州华立学院,国家级一流本科课程,0,0
广州应用科技学院,国家级一流本科课程,0,0
广州商学院,国家级一流本科课程,0,0
广州工商学院,国家级一流本科课程,0,0
广州科技职业技术大学,国家级一流本科课程,0,0
广州新华学院,国家级一流本科课程,0,0
香港科技大学（广州）,国家级一流本科课程,0,0
广州番禺职业技术学院,国家级一流本科课程,0,0
