学校名称,指标名称,标准答案,AI答案
中山大学,国家级高等教育智慧平台课程,待填充,50
暨南大学,国家级高等教育智慧平台课程,待填充,92
华南理工大学,国家级高等教育智慧平台课程,待填充,66
华南农业大学,国家级高等教育智慧平台课程,待填充,23
广州医科大学,国家级高等教育智慧平台课程,待填充,15
广州中医药大学,国家级高等教育智慧平台课程,待填充,44
广东药科大学,国家级高等教育智慧平台课程,待填充,12
华南师范大学,国家级高等教育智慧平台课程,待填充,47
广州体育学院,国家级高等教育智慧平台课程,待填充,6
广州美术学院,国家级高等教育智慧平台课程,待填充,4
星海音乐学院,国家级高等教育智慧平台课程,待填充,3
广东技术师范大学,国家级高等教育智慧平台课程,待填充,19
广东财经大学,国家级高等教育智慧平台课程,待填充,14
广州大学,国家级高等教育智慧平台课程,待填充,27
广州航海学院,国家级高等教育智慧平台课程,待填充,0
广东警官学院,国家级高等教育智慧平台课程,待填充,1
仲恺农业工程学院,国家级高等教育智慧平台课程,待填充,3
广东金融学院,国家级高等教育智慧平台课程,待填充,4
广东工业大学,国家级高等教育智慧平台课程,待填充,15
广东外语外贸大学,国家级高等教育智慧平台课程,待填充,27
南方医科大学,国家级高等教育智慧平台课程,待填充,30
广东第二师范学院,国家级高等教育智慧平台课程,待填充,0
广东轻工职业技术大学,国家级高等教育智慧平台课程,待填充,9
广东白云学院,国家级高等教育智慧平台课程,待填充,5
广东培正学院,国家级高等教育智慧平台课程,待填充,1
广州城市理工学院,国家级高等教育智慧平台课程,待填充,1
广州软件学院,国家级高等教育智慧平台课程,待填充,0
广州南方学院,国家级高等教育智慧平台课程,待填充,0
广东外语外贸大学南国商学院,国家级高等教育智慧平台课程,待填充,0
广州华商学院,国家级高等教育智慧平台课程,待填充,3
华南农业大学珠江学院,国家级高等教育智慧平台课程,待填充,1
广州理工学院,国家级高等教育智慧平台课程,待填充,2
广州华立学院,国家级高等教育智慧平台课程,待填充,0
广州应用科技学院,国家级高等教育智慧平台课程,待填充,0
广州商学院,国家级高等教育智慧平台课程,待填充,0
广州工商学院,国家级高等教育智慧平台课程,待填充,1
广州科技职业技术大学,国家级高等教育智慧平台课程,待填充,0
广州新华学院,国家级高等教育智慧平台课程,待填充,0
香港科技大学（广州）,国家级高等教育智慧平台课程,待填充,0
广州番禺职业技术学院,国家级高等教育智慧平台课程,待填充,8
