学校名称,指标名称,标准答案,AI答案
中山大学,本科专业总数,待填充,129
暨南大学,本科专业总数,待填充,108
华南理工大学,本科专业总数,待填充,145
华南农业大学,本科专业总数,待填充,98
广州医科大学,本科专业总数,待填充,21
广州中医药大学,本科专业总数,待填充,23
广东药科大学,本科专业总数,待填充,47
华南师范大学,本科专业总数,待填充,97
广州体育学院,本科专业总数,待填充,23
广州美术学院,本科专业总数,待填充,31
星海音乐学院,本科专业总数,待填充,11
广东技术师范大学,本科专业总数,待填充,74
广东财经大学,本科专业总数,待填充,67
广州大学,本科专业总数,待填充,78
广州航海学院,本科专业总数,待填充,0
广东警官学院,本科专业总数,待填充,13
仲恺农业工程学院,本科专业总数,待填充,65
广东金融学院,本科专业总数,待填充,55
广东工业大学,本科专业总数,待填充,92
广东外语外贸大学,本科专业总数,待填充,74
南方医科大学,本科专业总数,待填充,30
广东第二师范学院,本科专业总数,待填充,44
广东轻工职业技术大学,本科专业总数,待填充,6
广东白云学院,本科专业总数,待填充,61
广东培正学院,本科专业总数,待填充,46
广州城市理工学院,本科专业总数,待填充,46
广州软件学院,本科专业总数,待填充,32
广州南方学院,本科专业总数,待填充,46
广东外语外贸大学南国商学院,本科专业总数,待填充,47
广州华商学院,本科专业总数,待填充,54
华南农业大学珠江学院,本科专业总数,待填充,43
广州理工学院,本科专业总数,待填充,51
广州华立学院,本科专业总数,待填充,52
广州应用科技学院,本科专业总数,待填充,47
广州商学院,本科专业总数,待填充,38
广州工商学院,本科专业总数,待填充,36
广州科技职业技术大学,本科专业总数,待填充,27
广州新华学院,本科专业总数,待填充,60
香港科技大学（广州）,本科专业总数,待填充,16
广州番禺职业技术学院,本科专业总数,待填充,6
