学校名称,指标名称,标准答案,AI答案
中山大学,省级一流本科课程,129,129
暨南大学,省级一流本科课程,187,187
华南理工大学,省级一流本科课程,158,158
华南农业大学,省级一流本科课程,133,133
广州医科大学,省级一流本科课程,84,84
广州中医药大学,省级一流本科课程,87,87
广东药科大学,省级一流本科课程,64,64
华南师范大学,省级一流本科课程,151,151
广州体育学院,省级一流本科课程,25,25
广州美术学院,省级一流本科课程,24,24
星海音乐学院,省级一流本科课程,9,9
广东技术师范大学,省级一流本科课程,53,53
广东财经大学,省级一流本科课程,57,57
广州大学,省级一流本科课程,124,124
广州航海学院,省级一流本科课程,9,9
广东警官学院,省级一流本科课程,24,24
仲恺农业工程学院,省级一流本科课程,26,26
广东金融学院,省级一流本科课程,30,30
广东工业大学,省级一流本科课程,110,110
广东外语外贸大学,省级一流本科课程,102,102
南方医科大学,省级一流本科课程,137,137
广东第二师范学院,省级一流本科课程,17,17
广东轻工职业技术大学,省级一流本科课程,未找到数据,0
广东白云学院,省级一流本科课程,21,21
广东培正学院,省级一流本科课程,6,6
广州城市理工学院,省级一流本科课程,22,22
广州软件学院,省级一流本科课程,6,6
广州南方学院,省级一流本科课程,21,21
广东外语外贸大学南国商学院,省级一流本科课程,8,8
广州华商学院,省级一流本科课程,14,14
华南农业大学珠江学院,省级一流本科课程,3,3
广州理工学院,省级一流本科课程,8,6
广州华立学院,省级一流本科课程,4,4
广州应用科技学院,省级一流本科课程,1,1
广州商学院,省级一流本科课程,14,14
广州工商学院,省级一流本科课程,21,21
广州科技职业技术大学,省级一流本科课程,未找到数据,0
广州新华学院,省级一流本科课程,23,23
香港科技大学（广州）,省级一流本科课程,未找到数据,0
广州番禺职业技术学院,省级一流本科课程,未找到数据,0
