学校名称,指标名称,标准答案,AI答案
中山大学,省级教学成果奖,17,17
暨南大学,省级教学成果奖,11,11
华南理工大学,省级教学成果奖,14,14
华南农业大学,省级教学成果奖,9,9
广州医科大学,省级教学成果奖,5,5
广州中医药大学,省级教学成果奖,6,6
广东药科大学,省级教学成果奖,2,2
华南师范大学,省级教学成果奖,10,10
广州体育学院,省级教学成果奖,1,1
广州美术学院,省级教学成果奖,2,2
星海音乐学院,省级教学成果奖,2,2
广东技术师范大学,省级教学成果奖,4,4
广东财经大学,省级教学成果奖,5,5
广州大学,省级教学成果奖,4,4
广州航海学院,省级教学成果奖,2,2
广东警官学院,省级教学成果奖,1,2
仲恺农业工程学院,省级教学成果奖,3,3
广东金融学院,省级教学成果奖,1,1
广东工业大学,省级教学成果奖,6,6
广东外语外贸大学,省级教学成果奖,5,5
南方医科大学,省级教学成果奖,9,9
广东第二师范学院,省级教学成果奖,1,1
广东轻工职业技术大学,省级教学成果奖,未找到数据,0
广东白云学院,省级教学成果奖,1,1
广东培正学院,省级教学成果奖,未找到数据,0
广州城市理工学院,省级教学成果奖,未找到数据,0
广州软件学院,省级教学成果奖,未找到数据,0
广州南方学院,省级教学成果奖,1,1
广东外语外贸大学南国商学院,省级教学成果奖,未找到数据,0
广州华商学院,省级教学成果奖,未找到数据,0
华南农业大学珠江学院,省级教学成果奖,未找到数据,0
广州理工学院,省级教学成果奖,未找到数据,0
广州华立学院,省级教学成果奖,未找到数据,0
广州应用科技学院,省级教学成果奖,未找到数据,0
广州商学院,省级教学成果奖,未找到数据,0
广州工商学院,省级教学成果奖,1,1
广州科技职业技术大学,省级教学成果奖,未找到数据,0
广州新华学院,省级教学成果奖,未找到数据,0
香港科技大学（广州）,省级教学成果奖,未找到数据,0
广州番禺职业技术学院,省级教学成果奖,未找到数据,0
