学校名称,指标名称,标准答案,AI答案
中山大学,软科中国最好学科排名前10%学科数量,15,13
暨南大学,软科中国最好学科排名前10%学科数量,5,8
华南理工大学,软科中国最好学科排名前10%学科数量,5,10
华南农业大学,软科中国最好学科排名前10%学科数量,1,2
广州医科大学,软科中国最好学科排名前10%学科数量,0,2
广州中医药大学,软科中国最好学科排名前10%学科数量,1,2
广东药科大学,软科中国最好学科排名前10%学科数量,0,1
华南师范大学,软科中国最好学科排名前10%学科数量,3,5
广州体育学院,软科中国最好学科排名前10%学科数量,0,0
广州美术学院,软科中国最好学科排名前10%学科数量,0,0
星海音乐学院,软科中国最好学科排名前10%学科数量,0,0
广东技术师范大学,软科中国最好学科排名前10%学科数量,0,0
广东财经大学,软科中国最好学科排名前10%学科数量,0,2
广州大学,软科中国最好学科排名前10%学科数量,0,4
广州航海学院,软科中国最好学科排名前10%学科数量,0,0
广东警官学院,软科中国最好学科排名前10%学科数量,0,0
仲恺农业工程学院,软科中国最好学科排名前10%学科数量,0,0
广东金融学院,软科中国最好学科排名前10%学科数量,0,0
广东工业大学,软科中国最好学科排名前10%学科数量,2,2
广东外语外贸大学,软科中国最好学科排名前10%学科数量,1,2
南方医科大学,软科中国最好学科排名前10%学科数量,1,3
广东第二师范学院,软科中国最好学科排名前10%学科数量,0,0
广东轻工职业技术大学,软科中国最好学科排名前10%学科数量,0,0
广东白云学院,软科中国最好学科排名前10%学科数量,0,0
广东培正学院,软科中国最好学科排名前10%学科数量,0,0
广州城市理工学院,软科中国最好学科排名前10%学科数量,0,0
广州软件学院,软科中国最好学科排名前10%学科数量,0,0
广州南方学院,软科中国最好学科排名前10%学科数量,0,0
广东外语外贸大学南国商学院,软科中国最好学科排名前10%学科数量,0,0
广州华商学院,软科中国最好学科排名前10%学科数量,0,0
华南农业大学珠江学院,软科中国最好学科排名前10%学科数量,0,0
广州理工学院,软科中国最好学科排名前10%学科数量,0,0
广州华立学院,软科中国最好学科排名前10%学科数量,0,0
广州应用科技学院,软科中国最好学科排名前10%学科数量,0,0
广州商学院,软科中国最好学科排名前10%学科数量,0,0
广州工商学院,软科中国最好学科排名前10%学科数量,0,0
广州科技职业技术大学,软科中国最好学科排名前10%学科数量,0,0
广州新华学院,软科中国最好学科排名前10%学科数量,0,0
香港科技大学（广州）,软科中国最好学科排名前10%学科数量,0,0
广州番禺职业技术学院,软科中国最好学科排名前10%学科数量,0,0
