学校名称,指标名称,标准答案,AI答案
中山大学,ESI前1%学科数量,待填充,21
中山大学,ESI前1‰学科数量,待填充,11
中山大学,专业型博士学位点,待填充,3
中山大学,专业型硕士学位点,待填充,2
中山大学,国家双一流学科数量,待填充,11
中山大学,国家级一流本科专业建设点,待填充,72
中山大学,国家级一流本科课程,待填充,73
中山大学,国家级教学成果奖,待填充,5
中山大学,国家级高等教育智慧平台课程,待填充,50
中山大学,学术型博士学位点,待填充,2
中山大学,学术型硕士学位点,待填充,0
中山大学,教育部评估A类学科数量,待填充,3
中山大学,本科专业总数,待填充,129
中山大学,省级一流本科专业建设点,待填充,19
中山大学,省级一流本科课程,待填充,129
中山大学,省级教学成果奖,待填充,17
中山大学,软科中国最好学科排名前10%学科数量,待填充,13
仲恺农业工程学院,ESI前1%学科数量,待填充,3
仲恺农业工程学院,ESI前1‰学科数量,待填充,0
仲恺农业工程学院,专业型博士学位点,待填充,0
仲恺农业工程学院,专业型硕士学位点,待填充,2
仲恺农业工程学院,国家双一流学科数量,待填充,0
仲恺农业工程学院,国家级一流本科专业建设点,待填充,2
仲恺农业工程学院,国家级一流本科课程,待填充,0
仲恺农业工程学院,国家级教学成果奖,待填充,0
仲恺农业工程学院,国家级高等教育智慧平台课程,待填充,3
仲恺农业工程学院,学术型博士学位点,待填充,1
仲恺农业工程学院,学术型硕士学位点,待填充,1
仲恺农业工程学院,教育部评估A类学科数量,待填充,0
仲恺农业工程学院,本科专业总数,待填充,65
仲恺农业工程学院,省级一流本科专业建设点,待填充,13
仲恺农业工程学院,省级一流本科课程,待填充,26
仲恺农业工程学院,省级教学成果奖,待填充,3
仲恺农业工程学院,软科中国最好学科排名前10%学科数量,待填充,0
华南农业大学,ESI前1%学科数量,待填充,13
华南农业大学,ESI前1‰学科数量,待填充,2
华南农业大学,专业型博士学位点,待填充,1
华南农业大学,专业型硕士学位点,待填充,0
华南农业大学,国家双一流学科数量,待填充,1
华南农业大学,国家级一流本科专业建设点,待填充,27
华南农业大学,国家级一流本科课程,待填充,53
华南农业大学,国家级教学成果奖,待填充,1
华南农业大学,国家级高等教育智慧平台课程,待填充,23
