subject,name,layer
0101 哲学,复旦大学,前3%
0101 哲学,中国人民大学,前3%
0101 哲学,北京大学,前3%
0101 哲学,中山大学,前3%
0101 哲学,北京师范大学,前7%
0101 哲学,浙江大学,前7%
0101 哲学,华东师范大学,前7%
0101 哲学,南京大学,前7%
0101 哲学,武汉大学,前7%
0101 哲学,清华大学,前12%
0101 哲学,山东大学,前12%
0101 哲学,山西大学,前12%
0101 哲学,四川大学,前12%
0101 哲学,吉林大学,前12%
0101 哲学,南开大学,前12%
0101 哲学,东南大学,前12%
0101 哲学,华中科技大学,前20%
0101 哲学,湖南师范大学,前20%
0101 哲学,厦门大学,前20%
0101 哲学,西安交通大学,前20%
0101 哲学,湖南大学,前20%
0101 哲学,同济大学,前20%
0101 哲学,中央民族大学,前20%
0101 哲学,黑龙江大学,前20%
0101 哲学,华南师范大学,前20%
0101 哲学,陕西师范大学,前20%
0101 哲学,西南大学,前20%
0101 哲学,湖北大学,前30%
0101 哲学,苏州大学,前30%
0101 哲学,首都师范大学,前30%
0101 哲学,大连理工大学,前30%
0101 哲学,上海师范大学,前30%
0101 哲学,上海交通大学,前30%
0101 哲学,贵州大学,前30%
0101 哲学,南京师范大学,前30%
0101 哲学,中南财经政法大学,前30%
0101 哲学,兰州大学,前30%
0101 哲学,西南民族大学,前30%
0101 哲学,中国政法大学,前30%
0101 哲学,西北大学,前30%
0101 哲学,安徽大学,前40%
0101 哲学,江苏师范大学,前40%
0101 哲学,中南大学,前40%
0101 哲学,东北大学,前40%
0101 哲学,郑州大学,前40%
0101 哲学,河北大学,前40%
0101 哲学,河北经贸大学,前40%
0101 哲学,华侨大学,前40%
0101 哲学,河南大学,前40%
0101 哲学,东北师范大学,前40%
0101 哲学,上海财经大学,前40%
0101 哲学,长沙理工大学,前40%
0101 哲学,暨南大学,前40%
0101 哲学,南昌大学,前40%
0101 哲学,四川师范大学,前40%
0101 哲学,内蒙古师范大学,前50%
0101 哲学,青海民族大学,前50%
