学校名称,指标名称,标准答案,AI答案
暨南大学,ESI前1%学科数量,待填充,
暨南大学,ESI前1‰学科数量,待填充,
暨南大学,国家双一流学科数量,待填充,
暨南大学,教育部评估A类学科数量,待填充,
暨南大学,软科中国最好学科排名前10%学科数量,待填充,
暨南大学,本科专业总数,待填充,
暨南大学,本科专业认证通过数,待填充,
暨南大学,国家级一流本科专业建设点,待填充,
暨南大学,省级一流本科专业建设点,待填充,
暨南大学,国家级教学成果奖,待填充,
暨南大学,省级教学成果奖,待填充,
暨南大学,全国高校青年教师教学竞赛,待填充,
暨南大学,国家级一流本科课程,待填充,
暨南大学,省级一流本科课程,待填充,
暨南大学,国家级高等教育智慧平台课程,待填充,
暨南大学,省级高等教育智慧平台课程,待填充,
华南理工大学,ESI前1%学科数量,待填充,
华南理工大学,ESI前1‰学科数量,待填充,
华南理工大学,国家双一流学科数量,待填充,
华南理工大学,教育部评估A类学科数量,待填充,
华南理工大学,软科中国最好学科排名前10%学科数量,待填充,
华南理工大学,本科专业总数,待填充,
华南理工大学,本科专业认证通过数,待填充,
华南理工大学,国家级一流本科专业建设点,待填充,
华南理工大学,省级一流本科专业建设点,待填充,
华南理工大学,国家级教学成果奖,待填充,
华南理工大学,省级教学成果奖,待填充,
华南理工大学,全国高校青年教师教学竞赛,待填充,
华南理工大学,国家级一流本科课程,待填充,
华南理工大学,省级一流本科课程,待填充,
华南理工大学,国家级高等教育智慧平台课程,待填充,
华南理工大学,省级高等教育智慧平台课程,待填充,
